date	type	station_train_code	train_no
2022-08-17	D	D696(深圳北-厦门)	6i0000D69601
2022-08-17	D	D701(北京-上海)	240000D70102
2022-08-17	D	D703(北京南-上海南)	240000D70308
2022-08-17	D	D704(上海南-北京南)	550000D70401
2022-08-17	D	D705(北京-上海)	240000D70505
2022-08-17	D	D706(上海-北京)	550000D70610
2022-08-17	D	D709(北京南-上海)	240000D70906
2022-08-17	D	D710(上海-北京南)	550000D71000
2022-08-17	D	D711(北京-杭州)	240000D71108
2022-08-17	D	D712(杭州-北京)	560000D71211
2022-08-17	D	D717(北京-杭州)	240000D71706
2022-08-17	D	D718(杭州-北京)	560000D71801
2022-08-17	D	D725(北京-青岛北)	240000D72506
2022-08-17	D	D727(北京丰台-深圳)	240000D72710
2022-08-17	D	D728(深圳-北京丰台)	650000D72820
2022-08-17	D	D733(北京丰台-井冈山)	240000D73330
2022-08-17	D	D734(井冈山-北京丰台)	570000D73410
2022-08-17	D	D735(北京丰台-南昌)	240000D73510
2022-08-17	D	D736(南昌-北京丰台)	570000D73613
2022-08-17	D	D737(北京丰台-南昌)	240000D73710
2022-08-17	D	D738(南昌-北京丰台)	570000D73804
2022-08-17	D	D739(北京丰台-龙岩)	240000D73930
2022-08-17	D	D745(北京丰台-厦门北)	240000D74520
2022-08-17	D	D746(厦门北-北京丰台)	5n0000D74610
2022-08-17	D	D751(重庆北-兰州)	770000D75102
2022-08-17	D	D752(兰州西-重庆北)	8d0000D75202
2022-08-17	D	D753(重庆北-兰州)	770000D75302
2022-08-17	D	D754(兰州-重庆北)	850000D75403
2022-08-17	D	D755(重庆北-西宁)	770000D75504
2022-08-17	D	D756(西宁-重庆北)	880000D75603
2022-08-17	D	D761(成都东-兰州)	760000D76404
2022-08-17	D	D762(兰州-成都东)	850000D76203
2022-08-17	D	D763(兰州-成都东)	850000D76203
2022-08-17	D	D764(成都东-兰州)	760000D76404
2022-08-17	D	D765(成都东-西宁)	760000D76804
2022-08-17	D	D766(西宁-成都东)	880000D76604
2022-08-17	D	D767(西宁-成都东)	880000D76604
2022-08-17	D	D768(成都东-西宁)	760000D76804
2022-08-17	D	D771(上海南-九江)	550000D77102
2022-08-17	D	D772(九江-上海南)	570000D7720A
2022-08-17	D	D777(呼和浩特东-西安)	330000D77703
2022-08-17	D	D778(西安-呼和浩特东)	410000D77803
2022-08-17	D	D779(鄂尔多斯-西安)	3d0000D77905
2022-08-17	D	D780(西安-鄂尔多斯)	410000D78003
2022-08-17	D	D781(青岛北-杭州)	490000D78102
2022-08-17	D	D782(杭州-青岛北)	560000D78210
2022-08-17	D	D783(杭州-青岛北)	560000D78210
2022-08-17	D	D784(青岛北-杭州)	490000D78102
2022-08-17	D	D785(攀枝花南-通海)	760000D78510
